REP 	00:00:00:00	V1	White	(REP )  Det nya normala är liksom att det är hemska saker, ja fy sjutton.
REP 	00:00:10:00	V1	White	(REP )  Hon är fantastiskt duktig. Vi har jobbat tillsammans i tio år så jag visste vilken kapacitet hon har.
REP 	00:00:19:00	V1	White	(REP )  Det är kanske lite skönt också att inte behöver vara nummer ett.
REP 	00:00:28:00	V1	White	(REP )  Det hade jag funderat igenom ganska noga, det är inte så många faktiskt som får välja det. Ingvar fick ju välja att lämna själv och Tage Erlander, men Per-Albin Hansson han dog ju knall och fall tyvärr. Det gjorde också Olof Palme, mordet. Göran Persson valde att sluta men det var
REP 	00:00:28:00	V1	White	(REP )  ju efter en valförlust, så det är tre som har fått välja helt själva. Det var faktiskt Ingvar som påminner mig när vi träffades här i våras en gång.
REP 	00:01:14:00	V1	White	(REP )  Nu har jag stängt av ACn här också så om det blir för olidligt så får vi ta en liten fem minuters paus för att kylas ner.
LOFVEN	00:01:25:00	V1	White	(LOFVEN)  Man får ju som sagt inte klaga på värmen, men jag gör det, jag har så svårt att sova på nätterna.
REP 	00:01:28:00	V1	White	(REP )  Ja, det är tufft alltså.
LOFVEN	00:01:33:00	V1	White	(LOFVEN)  Jag har en mamma i Umeå som har haft en stroke. Hon förstår inte hur viktigt det är att dricka vatten.
REP 	00:01:37:00	V1	White	(REP )  Nej.
LOFVEN	00:01:39:00	V1	White	(LOFVEN)  Vi började bråka om det häromdagen. Jag sa att du måste dricka vatten.
REP 	00:01:45:00	V1	White	(REP )  Ja det är klart det. Har hon kunnat rehabiliterat sig hyggligt?
REP 	00:01:51:00	V1	White	(REP )  Någorlunda, hon har ändå fem tillsyner per dag.
REP 	00:01:55:00	V1	White	(REP )  Är det tal eller rörelse?
REP 	00:02:00:00	V1	White	(REP )  Hon har lite problem med rörelse. Ja, men hon har ju också.. Det funkar inte.
LOFVEN	00:02:07:00	V1	White	(LOFVEN)  Så tråkigt.
REP 	00:02:16:00	V1	White	(REP )  Jag har en bekant som är i ungefär samma ålder som också fick en stroke i vintras.
LOFVEN	00:02:21:00	V1	White	(LOFVEN)  Är alla mobiler på ljudlöst?
REP 	00:02:28:00	V1	White	(REP )  Det var ju bra att... Jag tror jag har den där på ljudlöst.
REP 	00:02:39:00	V1	White	(REP )  Min hustru brukar klaga på att jag har på ljudlöst, när hon ringer så hör jag inte. Du har ju ingen signal på säger hon.
REP 	00:02:50:00	V1	White	(REP )  Man glömmer att slå på.
LOFVEN	00:02:52:00	V1	White	(LOFVEN)  Det är så.
LOFVEN	00:03:11:00	V1	White	(LOFVEN)  Ja men nu ska de börjat ta bort allt, plast och allt det där.
REP 	00:03:21:00	V1	White	(REP )  Det är sak samma.
LOFVEN	00:03:23:00	V1	White	(LOFVEN)  Vad tycker du att jag ska skriva under Ingvar då? Man brukar fastna med handen på sådana här foton. Men vi provar och ser vad som händer.
